chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_015948.1,WP_014039050.1,HAH_RS00055,HAH_0011,510,12362,12871,+,protein_coding,metallophosphoesterase
NC_015948.1,WP_014039051.1,HAH_RS00060,HAH_0012,684,12930,13613,-,protein_coding,helix-turn-helix domain-containing protein
NC_015944.1,WP_014031007.1,HAH_RS17360,HAH_5011,960,13210,14169,+,protein_coding,ABC transporter ATP-binding protein
NC_015943.1,NA,HAH_RS15175,HAH_4012,123,13739,13861,+,rRNA,5S ribosomal RNA
NC_015948.1,WP_044951539.1,HAH_RS00065,HAH_0014,1092,13942,15033,+,protein_coding,aminopeptidase
NC_015943.1,WP_014030573.1,HAH_RS15180,HAH_4013,585,14069,14653,+,protein_coding,TrmB family transcriptional regulator
NC_015944.1,NA,HAH_RS17365,HAH_5012,955,14386,15340,-,pseudogene,bile acid:sodium symporter family protein
NC_015943.1,WP_014030574.1,HAH_RS15185,HAH_4014,327,15062,15388,+,protein_coding,UPF0175 family protein
NC_015948.1,WP_008307173.1,HAH_RS00070,HAH_0015,375,15123,15497,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030575.1,HAH_RS15190,HAH_4015,507,15385,15891,+,protein_coding,twitching motility protein PilT
NC_015948.1,WP_014039053.1,HAH_RS00075,HAH_0016,516,15501,16016,-,protein_coding,DUF21 domain-containing protein
NC_015944.1,WP_023842980.1,HAH_RS17370,HAH_5013,942,15858,16799,+,protein_coding,UbiA family prenyltransferase
NC_015948.1,WP_014039054.1,HAH_RS00080,HAH_0017,321,16124,16444,+,protein_coding,zinc ribbon domain-containing protein
NC_015948.1,WP_014039055.1,HAH_RS00085,HAH_0018,837,16445,17281,-,protein_coding,hypothetical protein
NC_015943.1,NA,HAH_RS15200,HAH_4018,318,16843,17160,+,pseudogene,hypothetical protein
NC_015944.1,WP_233425881.1,HAH_RS17375,HAH_5014,1650,16967,18616,+,protein_coding,ATP-binding protein
NC_015948.1,WP_023843028.1,HAH_RS00090,HAH_0019,1029,17383,18411,-,protein_coding,radical SAM protein
NC_015943.1,WP_014030579.1,HAH_RS15205,HAH_4019,993,17840,18832,+,protein_coding,ParA family protein
NC_015948.1,WP_044952103.1,HAH_RS00095,HAH_0020,1341,18547,19887,+,protein_coding,tetracycline resistance MFS efflux pump
NC_015943.1,WP_014030580.1,HAH_RS15210,HAH_4020,519,18832,19350,+,protein_coding,hypothetical protein
NC_015944.1,WP_023842982.1,HAH_RS17380,HAH_5015,291,18843,19133,+,protein_coding,sulfurtransferase TusA family protein
NC_015944.1,WP_014031012.1,HAH_RS17385,HAH_5016,699,19130,19828,+,protein_coding,DUF2270 domain-containing protein
NC_015943.1,NA,HAH_RS19200,NA,633,19568,20200,-,pseudogene,DDE-type integrase/transposase/recombinase
NC_015948.1,WP_201769736.1,HAH_RS00100,NA,390,19938,20327,-,protein_coding,zinc ribbon domain-containing protein
NC_015944.1,WP_023842983.1,HAH_RS17390,HAH_5017,438,20109,20546,+,protein_coding,chromosome partition protein
NC_015943.1,WP_233425860.1,HAH_RS15220,HAH_4024,417,20328,20744,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039058.1,HAH_RS00105,HAH_0021,501,20457,20957,+,protein_coding,phosphate-starvation-inducible PsiE family protein
NC_015943.1,WP_014030585.1,HAH_RS15225,HAH_4025,2865,20769,23633,-,protein_coding,UvrD-helicase domain-containing protein
NC_015948.1,WP_014039059.1,HAH_RS00110,HAH_0022,1098,21003,22100,+,protein_coding,DUF373 family protein
NC_015944.1,WP_023842984.1,HAH_RS17395,HAH_5018,1236,21094,22329,+,protein_coding,tyrosine-type recombinase/integrase
NC_015948.1,WP_014039060.1,HAH_RS00115,HAH_0023,297,22100,22396,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031014.1,HAH_RS17400,HAH_5019,846,22430,23275,+,protein_coding,ParA family protein
NC_015948.1,NA,HAH_RS00120,HAH_0024,105,22451,22555,+,tRNA,tRNA-Arg
NC_015948.1,WP_014039061.1,HAH_RS00125,HAH_0025,363,23149,23511,-,protein_coding,group 1 truncated hemoglobin
NC_015944.1,WP_014031015.1,HAH_RS17405,HAH_5020,384,23272,23655,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030586.1,HAH_RS15230,HAH_4026,2523,23630,26152,-,protein_coding,PD-(D/E)XK nuclease family protein
NC_015948.1,WP_014039062.1,HAH_RS00130,HAH_0026,1464,23645,25108,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039063.1,HAH_RS00135,HAH_0027,453,25254,25706,+,protein_coding,TRAM domain-containing protein
NC_015944.1,WP_008311746.1,HAH_RS17415,HAH_5021,801,25644,26444,-,protein_coding,IclR family transcriptional regulator
NC_015948.1,WP_014039064.1,HAH_RS00140,HAH_0028,783,25781,26563,+,protein_coding,SDR family oxidoreductase
NC_015943.1,WP_014030587.1,HAH_RS15235,HAH_4027,309,26267,26575,-,protein_coding,divalent-cation tolerance protein CutA
NC_015948.1,WP_014039065.1,HAH_RS00145,HAH_0029,996,26585,27580,-,protein_coding,mannose-1-phosphate guanylyltransferase
NC_015944.1,WP_014031017.1,HAH_RS17420,HAH_5022,1467,26806,28272,+,protein_coding,Na+/H+ antiporter NhaC
NC_015943.1,WP_233425861.1,HAH_RS15240,HAH_4028,198,26868,27065,-,protein_coding,hypothetical protein
NC_015943.1,NA,HAH_RS20155,NA,138,27171,27308,-,pseudogene,cell division control protein Cdc6
NC_015943.1,WP_023842880.1,HAH_RS19210,HAH_4030,366,27566,27931,-,protein_coding,VOC family protein
NC_015948.1,WP_004960042.1,HAH_RS00150,HAH_0030,285,27663,27947,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039066.1,HAH_RS00155,HAH_0031,945,28126,29070,+,protein_coding,replication protein A
NC_015943.1,WP_014030591.1,HAH_RS15255,HAH_4031,261,28423,28683,-,protein_coding,hypothetical protein
NC_015944.1,WP_014031018.1,HAH_RS17425,HAH_5023,405,28691,29095,-,protein_coding,DUF4864 domain-containing protein
NC_015943.1,WP_014030592.1,HAH_RS15260,HAH_4032,246,28769,29014,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039067.1,HAH_RS00160,HAH_0032,615,29071,29685,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031019.1,HAH_RS17430,HAH_5024,477,29225,29701,+,protein_coding,hypothetical protein
NC_015943.1,WP_044952566.1,HAH_RS15265,HAH_4033,876,29328,30203,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039068.1,HAH_RS00165,HAH_0033,429,29732,30160,-,protein_coding,VOC family protein
NC_015944.1,WP_014031020.1,HAH_RS17435,HAH_5025,993,29831,30823,-,protein_coding,DUF3592 domain-containing protein
NC_015948.1,WP_004515935.1,HAH_RS00170,HAH_0034,435,30294,30728,+,protein_coding,CopG family transcriptional regulator
NC_015943.1,WP_014030594.1,HAH_RS15270,HAH_4034,213,30475,30687,-,protein_coding,hypothetical protein
NC_015943.1,WP_014030595.1,HAH_RS15275,HAH_4035,300,30687,30986,-,protein_coding,hypothetical protein
NC_015948.1,WP_004590290.1,HAH_RS00175,HAH_0035,453,30720,31172,-,protein_coding,DUF5814 domain-containing protein
NC_015944.1,WP_014031021.1,HAH_RS17440,HAH_5026,1629,30921,32549,-,protein_coding,hydantoinase B/oxoprolinase family protein
NC_015948.1,NA,HAH_RS00180,HAH_0036,71,31434,31504,+,tRNA,tRNA-His
NC_015948.1,WP_044951550.1,HAH_RS19060,NA,849,31611,32459,+,protein_coding,HNH endonuclease
NC_015943.1,WP_014030597.1,HAH_RS15280,HAH_4037,315,32155,32469,-,protein_coding,helix-turn-helix transcriptional regulator
NC_015948.1,WP_014039070.1,HAH_RS00190,HAH_0039,279,32503,32781,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031022.1,HAH_RS17445,HAH_5027,1995,32546,34540,-,protein_coding,hydantoinase/oxoprolinase family protein
NC_015948.1,WP_044951553.1,HAH_RS00195,HAH_0040,648,32864,33511,+,protein_coding,phosphoribosyltransferase
NC_015943.1,WP_004966292.1,HAH_RS19215,HAH_4038,162,32984,33145,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030598.1,HAH_RS15285,HAH_4039,297,33499,33795,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039072.1,HAH_RS00200,HAH_0041,1206,33515,34720,-,protein_coding,CBS domain-containing protein
NC_015943.1,WP_023842881.1,HAH_RS19225,HAH_4040,252,33792,34043,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030600.1,HAH_RS15290,HAH_4041,1014,34210,35223,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031023.1,HAH_RS17450,HAH_5028,1209,34541,35749,-,protein_coding,Nramp family divalent metal transporter
NC_015948.1,WP_014039073.1,HAH_RS00205,HAH_0042,366,34820,35185,+,protein_coding,cupin domain-containing protein
NC_015948.1,WP_014039074.1,HAH_RS00210,HAH_0043,2046,35470,37515,+,protein_coding,DEAD/DEAH box helicase
NC_015943.1,WP_014030601.1,HAH_RS15295,HAH_4042,1020,35517,36536,+,protein_coding,three-Cys-motif partner protein TcmP
NC_015944.1,WP_014031024.1,HAH_RS17455,HAH_5029,540,35936,36475,-,protein_coding,"ribbon-helix-helix protein, CopG family"
NC_015943.1,WP_014030602.1,HAH_RS15300,HAH_4043,1050,36558,37607,-,protein_coding,radical SAM protein
NC_015944.1,WP_014031025.1,HAH_RS17460,HAH_5030,1254,36577,37830,-,protein_coding,Glu/Leu/Phe/Val dehydrogenase
NC_015948.1,WP_014039075.1,HAH_RS00215,HAH_0044,2178,37595,39772,+,protein_coding,hypothetical protein
NC_015943.1,WP_169313214.1,HAH_RS15305,HAH_4044,1026,38059,39084,+,protein_coding,radical SAM protein
NC_015944.1,WP_014031027.1,HAH_RS17465,HAH_5032,2868,38588,41455,+,protein_coding,GAF domain-containing protein
NC_015943.1,WP_014030604.1,HAH_RS15310,HAH_4045,960,39352,40311,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039076.1,HAH_RS19780,HAH_0045,174,39809,39982,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039077.1,HAH_RS00220,HAH_0046,1875,40125,41999,+,protein_coding,SLC13 family permease
NC_015943.1,WP_014030605.1,HAH_RS15315,HAH_4046,591,40384,40974,-,protein_coding,helix-turn-helix domain-containing protein
NC_015943.1,WP_014030607.1,HAH_RS15320,HAH_4048,297,41367,41663,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031028.1,HAH_RS19660,HAH_5033,144,41582,41725,+,protein_coding,rubrerythrin-like domain-containing protein
NC_015944.1,WP_014031029.1,HAH_RS17470,HAH_5034,1296,41728,43023,+,protein_coding,Glu/Leu/Phe/Val dehydrogenase
NC_015943.1,WP_014030608.1,HAH_RS20030,HAH_4050,150,42027,42176,+,protein_coding,hypothetical protein
NC_015948.1,NA,HAH_RS00225,HAH_0047,73,42055,42127,+,tRNA,tRNA-Pro
NC_015943.1,WP_007189808.1,HAH_RS15325,HAH_4051,270,42290,42559,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039078.1,HAH_RS00230,HAH_0048,2373,42312,44684,-,protein_coding,methyl-accepting chemotaxis protein
NC_015943.1,WP_023842884.1,HAH_RS15330,HAH_4052,252,42560,42811,+,protein_coding,type II toxin-antitoxin system HicA family toxin
NC_015944.1,WP_023842986.1,HAH_RS17475,HAH_5035,3900,43094,46993,-,protein_coding,PAS domain-containing protein
NC_015943.1,WP_014030611.1,HAH_RS15335,HAH_4053,261,43132,43392,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030612.1,HAH_RS20035,HAH_4054,156,43416,43571,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030614.1,HAH_RS15345,HAH_4056,399,43867,44265,+,protein_coding,type II toxin-antitoxin system death-on-curing family toxin
NC_015943.1,WP_004592295.1,HAH_RS20040,HAH_4057,171,44300,44470,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039079.1,HAH_RS00235,HAH_0049,1146,44684,45829,-,protein_coding,BMP family protein
NC_015943.1,WP_014030616.1,HAH_RS15350,HAH_4059,1263,45172,46434,+,protein_coding,RNA-guided endonuclease TnpB family protein
NC_015948.1,WP_014039080.1,HAH_RS00240,HAH_0050,3528,45986,49513,+,protein_coding,helix-turn-helix domain-containing protein
NC_015943.1,WP_023842887.1,HAH_RS15355,NA,351,46647,46997,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031031.1,HAH_RS17480,HAH_5036,1947,47235,49181,+,protein_coding,response regulator
NC_015943.1,WP_233425862.1,HAH_RS15360,HAH_4060,558,47688,48245,-,protein_coding,hypothetical protein
NC_015943.1,WP_162470423.1,HAH_RS19775,NA,495,48303,48797,+,protein_coding,hypothetical protein
NC_015943.1,WP_079891637.1,HAH_RS15370,HAH_4062,549,48794,49342,-,protein_coding,hypothetical protein
NC_015944.1,WP_014031032.1,HAH_RS17485,HAH_5037,717,49349,50065,-,protein_coding,alpha/beta hydrolase
NC_015948.1,WP_014039081.1,HAH_RS00245,HAH_0051,273,49515,49787,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030620.1,HAH_RS15375,HAH_4063,1821,49519,51339,-,protein_coding,hypothetical protein
NC_015948.1,WP_008307136.1,HAH_RS00250,HAH_0052,336,49957,50292,+,protein_coding,hypothetical protein
NC_015948.1,WP_023843048.1,HAH_RS00255,HAH_0053,810,50289,51098,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039083.1,HAH_RS00260,HAH_0054,768,51131,51898,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030621.1,HAH_RS15380,HAH_4064,1377,51400,52776,-,protein_coding,hypothetical protein
NC_015944.1,WP_023842987.1,HAH_RS17490,HAH_5038,1077,51435,52511,-,protein_coding,ABC transporter substrate-binding protein
NC_015948.1,WP_014039084.1,HAH_RS00265,HAH_0055,717,51895,52611,+,protein_coding,MinD/ParA family protein
NC_015948.1,WP_014039085.1,HAH_RS00270,HAH_0056,861,52590,53450,-,protein_coding,transcription initiation factor IIB family protein
NC_015943.1,WP_014030622.1,HAH_RS15385,HAH_4065,960,52829,53788,-,protein_coding,hypothetical protein
NC_015944.1,WP_023842988.1,HAH_RS17495,HAH_5039,1110,52839,53948,+,protein_coding,guanosine monophosphate reductase
NC_015948.1,WP_014039086.1,HAH_RS00275,HAH_0057,495,53621,54115,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030623.1,HAH_RS19235,HAH_4066,729,53923,54651,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031035.1,HAH_RS20215,HAH_5040,279,54069,54347,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039087.1,HAH_RS00280,HAH_0058,1521,54370,55890,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031036.1,HAH_RS17505,HAH_5041,2052,54502,56553,-,protein_coding,formate dehydrogenase subunit alpha
NC_015943.1,WP_023842890.1,HAH_RS15390,HAH_4067,348,54732,55079,+,protein_coding,hypothetical protein
NC_015943.1,WP_144443770.1,HAH_RS19570,HAH_4068,1497,55410,56906,+,protein_coding,Ig-like domain-containing protein
NC_015948.1,WP_023843049.1,HAH_RS00285,HAH_0059,606,55973,56578,-,protein_coding,"NAD(P)H-dependent oxidoreductase"
NC_015944.1,WP_014031037.1,HAH_RS17510,HAH_5042,1914,56758,58671,+,protein_coding,right-handed parallel beta-helix repeat-containing protein
NC_015948.1,WP_023843050.1,HAH_RS00290,HAH_0060,261,56820,57080,-,protein_coding,hypothetical protein
NC_015948.1,WP_014039090.1,HAH_RS00295,HAH_0061,537,57178,57714,+,protein_coding,Rieske 2Fe-2S domain-containing protein
NC_015943.1,WP_014030626.1,HAH_RS15405,HAH_4069,2394,57493,59886,-,protein_coding,DUF87 domain-containing protein
NC_015948.1,WP_014039091.1,HAH_RS00300,HAH_0062,1488,57757,59244,-,protein_coding,MATE family efflux transporter
NC_015944.1,WP_014031038.1,HAH_RS17515,HAH_5043,726,58668,59393,+,protein_coding,ABC transporter ATP-binding protein
NC_015948.1,WP_014039092.1,HAH_RS00305,HAH_0063,597,59241,59837,-,protein_coding,TetR/AcrR family transcriptional regulator
NC_015944.1,WP_014031039.1,HAH_RS17520,HAH_5044,813,59390,60202,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030627.1,HAH_RS15410,HAH_4070,1122,59894,61015,-,protein_coding,hypothetical protein
NC_015948.1,WP_004515963.1,HAH_RS00310,HAH_0064,459,59978,60436,-,protein_coding,Lrp/AsnC family transcriptional regulator
NC_015944.1,WP_023842989.1,HAH_RS17525,HAH_5045,528,60205,60732,-,protein_coding,helix-turn-helix domain-containing protein
NC_015948.1,WP_014039093.1,HAH_RS00315,HAH_0065,1356,60563,61918,+,protein_coding,type I glutamate--ammonia ligase
NC_015944.1,WP_014031041.1,HAH_RS17530,HAH_5046,561,60803,61363,-,protein_coding,nitrous oxide reductase accessory protein NosL
NC_015943.1,WP_023842893.1,HAH_RS15415,NA,474,61043,61516,-,protein_coding,PrgI family protein
NC_015944.1,WP_004595131.1,HAH_RS17535,HAH_5047,276,61422,61697,-,protein_coding,hypothetical protein
NC_015943.1,WP_008313606.1,HAH_RS15420,HAH_4071,408,61872,62279,-,protein_coding,type II toxin-antitoxin system VapC family toxin
NC_015944.1,WP_014031042.1,HAH_RS17540,HAH_5048,423,61885,62307,-,protein_coding,universal stress protein
NC_015948.1,WP_014039094.1,HAH_RS00320,HAH_0066,894,61931,62824,-,protein_coding,phosphatase PAP2 family protein
NC_015943.1,WP_004966782.1,HAH_RS15425,NA,225,62276,62500,-,protein_coding,hypothetical protein
NC_015944.1,WP_014031043.1,HAH_RS17545,HAH_5049,480,62478,62957,-,protein_coding,pyridoxamine 5'-phosphate oxidase family protein
NC_015948.1,WP_014039095.1,HAH_RS00325,HAH_0067,1236,62821,64056,-,protein_coding,YihY/virulence factor BrkB family protein
NC_015943.1,WP_023842894.1,HAH_RS15430,HAH_4074,366,63093,63458,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031044.1,HAH_RS17550,HAH_5050,483,63181,63663,+,protein_coding,DUF2267 domain-containing protein
NC_015943.1,WP_014030630.1,HAH_RS15435,HAH_4075,489,63591,64079,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031045.1,HAH_RS17555,HAH_5051,903,63883,64785,+,protein_coding,universal stress protein
NC_015948.1,WP_014039096.1,HAH_RS00330,HAH_0068,1437,64135,65571,-,protein_coding,MATE family efflux transporter
NC_015943.1,WP_233425863.1,HAH_RS15440,HAH_4076,675,64218,64892,-,protein_coding,hypothetical protein
NC_015944.1,WP_014031046.1,HAH_RS17560,HAH_5052,435,64911,65345,+,protein_coding,pyridoxamine 5'-phosphate oxidase family protein
NC_015944.1,WP_014031047.1,HAH_RS17565,HAH_5053,2586,65435,68020,+,protein_coding,"calcium-translocating P-type ATPase, PMCA-type"
NC_015948.1,WP_014039097.1,HAH_RS00335,HAH_0069,417,65666,66082,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039098.1,HAH_RS00340,HAH_0070,1104,66199,67302,-,protein_coding,tRNA (guanine(26)-N(2))-dimethyltransferase
NC_015943.1,WP_014030632.1,HAH_RS15445,HAH_4077,1152,66527,67678,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039099.1,HAH_RS00345,HAH_0071,1683,67351,69033,-,protein_coding,ATP-binding protein
NC_015944.1,WP_014031048.1,HAH_RS17570,HAH_5054,1425,68183,69607,-,protein_coding,FAD-dependent oxidoreductase
NC_015943.1,WP_014030633.1,HAH_RS15450,HAH_4078,600,68271,68870,+,protein_coding,TrmB family transcriptional regulator
NC_015943.1,WP_014030634.1,HAH_RS15455,HAH_4079,510,68867,69376,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039100.1,HAH_RS00350,HAH_0072,354,69167,69520,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039101.1,HAH_RS00355,HAH_0073,744,69735,70478,-,protein_coding,acetoacetate decarboxylase family protein
NC_015944.1,WP_014031049.1,HAH_RS17575,HAH_5055,786,69788,70573,-,protein_coding,sulfite exporter TauE/SafE family protein
NC_015943.1,WP_014030636.1,HAH_RS15460,HAH_4081,276,70293,70568,-,protein_coding,HTH domain-containing protein
NC_015948.1,WP_014039102.1,HAH_RS00360,HAH_0074,849,70466,71314,-,protein_coding,SDR family oxidoreductase
NC_015944.1,WP_014031050.1,HAH_RS17580,HAH_5056,357,70724,71080,-,protein_coding,DsrE family protein
NC_015943.1,WP_233425875.1,HAH_RS20115,NA,396,70939,71334,-,protein_coding,halocyanin domain-containing protein
NC_015944.1,WP_014031051.1,HAH_RS17585,HAH_5057,360,71222,71581,-,protein_coding,thioredoxin
NC_015948.1,WP_008307104.1,HAH_RS00365,HAH_0075,648,71339,71986,-,protein_coding,imidazole glycerol phosphate synthase subunit HisH
NC_015944.1,WP_014031052.1,HAH_RS17590,HAH_5058,405,71744,72148,-,protein_coding,helix-turn-helix domain-containing protein
NC_015948.1,WP_014039103.1,HAH_RS00370,HAH_0076,366,72158,72523,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031053.1,HAH_RS17595,HAH_5059,462,72292,72753,-,protein_coding,YeeE/YedE family protein
NC_015943.1,WP_014030637.1,HAH_RS15465,HAH_4082,450,72517,72966,+,protein_coding,VOC family protein
NC_015948.1,WP_014039104.1,HAH_RS00375,HAH_0077,588,72552,73139,-,protein_coding,uracil-DNA glycosylase
NC_015944.1,WP_014031054.1,HAH_RS17600,HAH_5060,492,72821,73312,-,protein_coding,YeeE/YedE family protein
NC_015948.1,WP_023843052.1,HAH_RS00380,HAH_0078,444,73252,73695,-,protein_coding,RidA family protein
NC_015944.1,WP_044952789.1,HAH_RS17605,HAH_5061,1242,73321,74562,-,protein_coding,MBL fold metallo-hydrolase
NC_015943.1,NA,HAH_RS20160,NA,222,73454,73675,+,pseudogene,transcription initiation factor IIB family protein
NC_015943.1,WP_023842898.1,HAH_RS15475,NA,252,73792,74043,+,protein_coding,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
NC_015948.1,WP_023843053.1,HAH_RS00385,HAH_0079,552,73920,74471,-,protein_coding,DUF99 family protein
NC_015943.1,WP_014030639.1,HAH_RS15480,HAH_4084,435,74044,74478,+,protein_coding,PIN domain-containing protein
NC_015948.1,WP_004515979.1,HAH_RS00390,HAH_0080,186,74468,74653,-,protein_coding,DUF5786 family protein
NC_015944.1,WP_014031056.1,HAH_RS17610,HAH_5062,246,74811,75056,+,protein_coding,sulfurtransferase TusA family protein
NC_015948.1,WP_014039107.1,HAH_RS00395,HAH_0081,612,74814,75425,+,protein_coding,MBL fold metallo-hydrolase
NC_015943.1,WP_023842963.1,HAH_RS19725,NA,153,74861,75013,+,protein_coding,hypothetical protein
NC_015943.1,WP_014030640.1,HAH_RS15485,HAH_4085,306,75023,75328,-,protein_coding,hypothetical protein
NC_015944.1,WP_014031057.1,HAH_RS17615,HAH_5063,573,75059,75631,+,protein_coding,DsrE/DsrF/DrsH-like family protein
NC_015948.1,WP_014039108.1,HAH_RS00400,HAH_0082,906,75476,76381,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031058.1,HAH_RS17620,HAH_5064,627,75668,76294,-,protein_coding,DUF1641 domain-containing protein
NC_015944.1,WP_014031059.1,HAH_RS17625,HAH_5065,1146,76297,77442,-,protein_coding,"NAD(P)/FAD-dependent oxidoreductase"
NC_015948.1,WP_004960523.1,HAH_RS19065,HAH_0083,150,76432,76581,-,protein_coding,50S ribosomal protein L40e
NC_015943.1,WP_233425876.1,HAH_RS15490,HAH_4086,1425,76484,77908,-,protein_coding,type IV secretion system DNA-binding domain-containing protein
NC_015948.1,WP_014039109.1,HAH_RS00405,HAH_0084,1074,76708,77781,+,protein_coding,hypothetical protein
NC_015944.1,WP_014031060.1,HAH_RS17630,HAH_5066,237,77439,77675,-,protein_coding,sulfurtransferase TusA family protein
